Time,Centre posn X,Centre posn Y,In top,In left,In right,In center
0:00:30.80,297,192,0,0,1,0
0:00:30.93,302,194,0,0,1,0
0:00:31.08,313,194,0,0,0,1
0:00:31.21,321,194,0,0,0,1
0:00:31.37,322,192,0,0,0,1
0:00:31.51,325,191,0,0,0,1
0:00:31.64,329,190,0,0,0,0
0:00:31.79,337,188,0,0,0,0
0:00:31.91,338,187,0,0,0,0
0:00:32.06,337,188,0,0,0,0
0:00:32.20,351,187,0,1,0,0
0:00:32.34,362,182,0,1,0,0
0:00:32.49,363,183,0,1,0,0
0:00:32.62,361,183,0,1,0,0
0:00:32.75,365,182,0,1,0,0
0:00:32.89,388,173,0,1,0,0
0:00:33.02,401,167,0,1,0,0
0:00:33.13,416,160,0,1,0,0
0:00:33.28,442,147,0,1,0,0
0:00:33.41,454,140,0,1,0,0
0:00:33.55,467,137,0,1,0,0
0:00:33.70,487,127,0,1,0,0
0:00:33.83,493,125,0,1,0,0
0:00:33.96,500,121,0,1,0,0
0:00:34.06,502,122,0,1,0,0
0:00:34.17,502,120,0,1,0,0
0:00:34.30,503,120,0,1,0,0
0:00:34.40,499,123,0,1,0,0
0:00:34.51,498,124,0,1,0,0
0:00:34.66,499,124,0,1,0,0
0:00:34.80,501,122,0,1,0,0
0:00:34.95,499,124,0,1,0,0
0:00:35.09,500,122,0,1,0,0
0:00:35.20,500,121,0,1,0,0
0:00:35.34,504,119,0,1,0,0
0:00:35.49,499,120,0,1,0,0
0:00:35.63,497,121,0,1,0,0
0:00:35.77,495,123,0,1,0,0
0:00:35.91,492,124,0,1,0,0
0:00:36.04,487,126,0,1,0,0
0:00:36.14,486,126,0,1,0,0
0:00:36.28,484,127,0,1,0,0
0:00:36.42,482,127,0,1,0,0
0:00:36.52,482,126,0,1,0,0
0:00:36.62,482,126,0,1,0,0
0:00:36.75,481,126,0,1,0,0
0:00:36.89,481,129,0,1,0,0
0:00:37.01,480,129,0,1,0,0
0:00:37.14,478,130,0,1,0,0
0:00:37.28,472,132,0,1,0,0
0:00:37.41,464,135,0,1,0,0
0:00:37.55,451,143,0,1,0,0
0:00:37.69,415,160,0,1,0,0
0:00:37.82,396,167,0,1,0,0
0:00:37.96,360,183,0,1,0,0
0:00:38.10,343,189,0,1,0,0
0:00:38.24,332,196,0,0,0,0
0:00:38.38,329,197,0,0,0,1
0:00:38.50,328,196,0,0,0,1
0:00:38.64,329,196,0,0,0,1
0:00:38.76,330,194,0,0,0,0
0:00:38.90,327,194,0,0,0,1
0:00:39.03,324,192,0,0,0,1
0:00:39.18,322,191,0,0,0,1
0:00:39.31,322,191,0,0,0,1
0:00:39.44,321,191,0,0,0,1
0:00:39.54,320,190,0,0,0,1
0:00:39.69,317,190,0,0,0,1
0:00:39.82,311,189,0,0,1,0
0:00:39.97,288,182,0,0,1,0
0:00:40.11,275,172,0,0,1,0
0:00:40.24,264,165,0,0,1,0
0:00:40.39,240,148,0,0,1,0
0:00:40.52,227,138,0,0,1,0
0:00:40.66,216,129,0,0,1,0
0:00:40.79,191,109,0,0,1,0
0:00:40.93,179,101,0,0,1,0
0:00:41.07,157,84,0,0,1,0
0:00:41.21,152,81,0,0,1,0
0:00:41.35,154,81,0,0,1,0
0:00:41.51,152,79,0,0,1,0
0:00:41.66,145,74,0,0,1,0
0:00:41.79,147,76,0,0,1,0
0:00:41.93,148,77,0,0,1,0
0:00:42.07,148,77,0,0,1,0
0:00:42.20,148,76,0,0,1,0
0:00:42.32,149,77,0,0,1,0
0:00:42.46,146,74,0,0,1,0
0:00:42.60,146,73,0,0,1,0
0:00:42.74,145,73,0,0,1,0
0:00:42.88,145,73,0,0,1,0
0:00:42.98,146,74,0,0,1,0
0:00:43.12,148,76,0,0,1,0
0:00:43.26,148,79,0,0,1,0
0:00:43.39,149,80,0,0,1,0
0:00:43.52,146,77,0,0,1,0
0:00:43.66,145,76,0,0,1,0
0:00:43.79,144,76,0,0,1,0
0:00:43.92,144,76,0,0,1,0
0:00:44.06,145,77,0,0,1,0
0:00:44.19,144,76,0,0,1,0
0:00:44.35,144,76,0,0,1,0
0:00:44.49,143,75,0,0,1,0
0:00:44.63,145,76,0,0,1,0
0:00:44.77,148,78,0,0,1,0
0:00:44.91,149,79,0,0,1,0
0:00:45.04,148,78,0,0,1,0
0:00:45.14,148,77,0,0,1,0
0:00:45.25,151,77,0,0,1,0
0:00:45.38,153,79,0,0,1,0
0:00:45.51,157,82,0,0,1,0
0:00:45.66,166,88,0,0,1,0
0:00:45.80,176,95,0,0,1,0
0:00:45.90,187,105,0,0,1,0
0:00:46.04,197,112,0,0,1,0
0:00:46.14,202,116,0,0,1,0
0:00:46.24,224,135,0,0,1,0
0:00:46.38,234,143,0,0,1,0
0:00:46.52,241,147,0,0,1,0
0:00:46.67,265,165,0,0,1,0
0:00:46.81,278,175,0,0,1,0
0:00:46.95,295,188,0,0,1,0
0:00:47.09,298,191,0,0,1,0
0:00:47.19,299,192,0,0,1,0
0:00:47.29,299,192,0,0,1,0
0:00:47.44,299,191,0,0,1,0
0:00:47.57,295,187,0,0,1,0
0:00:47.69,295,187,0,0,1,0
0:00:47.83,295,187,0,0,1,0
0:00:47.97,295,187,0,0,1,0
0:00:48.10,297,189,0,0,1,0
0:00:48.25,306,198,0,0,1,0
0:00:48.40,308,203,0,0,0,1
0:00:48.56,313,233,1,0,0,0
0:00:48.70,313,239,1,0,0,0
0:00:48.84,311,245,1,0,0,0
0:00:48.99,309,276,1,0,0,0
0:00:49.09,306,294,1,0,0,0
0:00:49.19,304,308,1,0,0,0
0:00:49.34,301,320,1,0,0,0
0:00:49.48,299,353,1,0,0,0
0:00:49.61,297,367,1,0,0,0
0:00:49.76,295,385,1,0,0,0
0:00:49.90,294,388,1,0,0,0
0:00:50.03,295,388,1,0,0,0
0:00:50.17,292,392,1,0,0,0
0:00:50.31,294,392,1,0,0,0
0:00:50.41,294,396,1,0,0,0
0:00:50.54,292,408,1,0,0,0
0:00:50.68,292,414,1,0,0,0
0:00:50.79,292,414,1,0,0,0
0:00:50.89,292,412,1,0,0,0
0:00:50.99,292,405,1,0,0,0
0:00:51.09,293,400,1,0,0,0
0:00:51.23,293,400,1,0,0,0
0:00:51.33,294,398,1,0,0,0
0:00:51.44,294,396,1,0,0,0
0:00:51.58,297,392,1,0,0,0
0:00:51.68,297,392,1,0,0,0
0:00:51.83,297,391,1,0,0,0
0:00:51.93,298,391,1,0,0,0
0:00:52.29,297,395,1,0,0,0
0:00:52.41,297,397,1,0,0,0
0:00:52.53,297,399,1,0,0,0
0:00:52.64,297,397,1,0,0,0
0:00:52.78,296,393,1,0,0,0
0:00:52.92,296,390,1,0,0,0
0:00:53.07,295,388,1,0,0,0
0:00:53.21,293,395,1,0,0,0
